NAME,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS
Gustav Isaksen,30,1598,0.28,0.28,-0.00,2.70,1.07,10.42%,0.10,15.83,200.7,12.7,8.34,100.8,0.7,1.07,0.17,0.62,0.06,16,7,62,3,6,196,99,50.5%,27,11,40.7%,28.95,23.37,80.7%,10.53,7.21,68.5%,1.63,0.51,31.0%,0.11
Gvidas Gineitis,29,1763,0.00,0.05,-0.05,1.38,0.26,0.00%,0.04,7.61,88.4,11.6,4.08,40.3,0.5,0.56,0.00,0.26,0.00,45,22,77,10,28,167,93,55.7%,55,28,50.9%,29.25,22.36,76.4%,9.55,6.59,69.0%,1.74,0.51,29.4%,0.20
Hakan Çalhanoglu,22,1649,0.49,0.31,0.18,2.73,0.93,18.00%,0.11,16.37,188.1,11.5,7.91,84.3,0.6,0.05,0.05,0.16,0.00,34,16,102,6,16,102,50,49.0%,23,13,56.5%,75.92,68.82,90.7%,23.47,19.87,84.7%,1.15,0.16,14.3%,0.22
Hans Nicolussi Caviglia,26,1459,0.00,0.06,-0.06,1.23,0.19,0.00%,0.05,11.66,111.9,9.6,4.69,36.0,0.5,0.06,0.00,0.19,0.06,27,6,65,4,25,135,62,45.9%,24,11,45.8%,47.37,40.03,84.5%,11.66,7.71,66.1%,0.74,0.06,8.3%,0.06
Hassane Kamara,26,1869,0.00,0.03,-0.03,0.77,0.24,0.00%,0.04,10.40,122.7,11.8,6.26,67.6,0.5,0.05,0.00,0.19,0.00,31,23,72,3,58,106,59,55.7%,29,18,62.1%,35.35,28.89,81.7%,10.16,7.51,73.9%,3.61,0.72,20.0%,0.00
Henrik Meister,28,1512,0.12,0.21,-0.09,1.19,0.48,10.00%,0.18,4.23,56.8,13.4,2.44,31.0,0.8,0.36,0.06,0.00,0.00,5,1,29,0,7,112,35,31.3%,78,33,42.3%,9.29,5.95,64.1%,3.99,2.44,61.2%,0.06,0.00,0.0%,0.00
Henrikh Mkhitaryan,30,1555,0.23,0.29,-0.06,2.49,0.81,9.30%,0.12,14.64,158.7,10.8,8.22,90.1,0.6,0.41,0.00,0.35,0.00,33,14,100,4,18,147,62,42.2%,22,12,54.5%,57.70,50.82,88.1%,24.71,20.72,83.8%,1.85,0.23,12.5%,0.23
Honest Ahanor,22,1374,0.00,0.13,-0.13,0.85,0.26,0.00%,0.15,9.04,92.1,10.2,4.59,39.4,0.6,0.07,0.00,0.00,0.00,36,23,47,10,49,111,69,62.2%,60,33,55.0%,46.77,41.92,89.6%,7.60,6.35,83.6%,0.13,0.07,50.0%,0.00
Ibrahim Sulemana,19,895,0.10,0.16,-0.06,1.11,0.20,9.09%,0.14,11.36,113.8,10.0,4.42,30.0,0.7,0.10,0.00,0.10,0.00,19,5,66,3,16,81,40,49.4%,31,15,48.4%,39.22,34.59,88.2%,7.64,6.23,81.6%,0.20,0.00,0.0%,0.00
Idrissa Touré,32,2281,0.04,0.11,-0.07,1.14,0.32,3.45%,0.10,8.64,109.7,12.7,4.54,47.8,0.4,0.08,0.00,0.24,0.00,43,23,111,7,78,171,81,47.4%,235,141,60.0%,26.40,17.36,65.8%,10.38,5.33,51.3%,2.60,0.43,16.7%,0.12
Ignace Van der Brempt,20,930,0.00,0.02,-0.02,0.29,0.00,0.00%,0.06,13.16,149.7,11.4,7.26,77.5,1.0,0.19,0.00,0.19,0.00,30,8,42,0,19,87,51,58.6%,23,11,47.8%,45.29,38.81,85.7%,12.87,9.68,75.2%,1.06,0.19,18.2%,0.39
Isak Hien,28,1965,0.05,0.04,0.01,0.41,0.14,11.11%,0.09,10.53,89.0,8.4,3.71,32.0,0.4,0.00,0.00,0.05,0.00,49,29,125,16,102,142,74,52.1%,97,48,49.5%,51.94,47.82,92.1%,4.53,3.39,74.8%,0.00,0.00,0.0%,0.00
Isak Vural,15,752,0.00,0.10,-0.10,0.72,0.12,0.00%,0.13,9.57,93.4,9.8,4.31,28.9,0.8,0.00,0.00,0.24,0.00,9,2,34,3,8,83,51,61.4%,19,7,36.8%,25.13,20.82,82.9%,5.74,3.83,66.7%,0.12,0.00,0.0%,0.00
Ismaël Koné,35,2756,0.20,0.17,0.02,0.75,0.33,26.09%,0.23,12.15,146.2,12.0,6.14,67.1,0.4,0.29,0.10,0.36,0.00,31,15,92,3,32,187,109,58.3%,23,7,30.4%,37.33,34.16,91.5%,10.12,8.72,86.1%,0.16,0.10,60.0%,0.03
Ivan Smolcic,28,1665,0.00,0.05,-0.05,0.65,0.22,0.00%,0.07,6.97,65.0,9.3,3.68,30.1,0.4,0.00,0.00,0.11,0.00,38,23,57,9,44,100,57,57.0%,46,25,54.3%,47.46,41.35,87.1%,11.03,8.97,81.4%,1.57,0.32,20.7%,0.11
Jack Harrison,15,979,0.09,0.08,0.01,1.20,0.37,7.69%,0.07,13.42,137.6,10.3,6.07,58.3,0.9,0.64,0.09,0.55,0.09,10,1,34,1,6,84,28,33.3%,17,4,23.5%,35.03,28.96,82.7%,12.87,9.74,75.7%,4.23,0.92,21.7%,0.18
Jacob Ondrejka,16,776,0.00,0.13,-0.13,2.44,0.81,0.00%,0.06,11.25,128.0,11.4,6.61,76.1,1.3,0.70,0.00,0.23,0.00,7,3,26,0,3,74,31,41.9%,7,1,14.3%,23.78,18.90,79.5%,11.60,8.70,75.0%,1.28,0.46,36.4%,0.00
Jacobo Ramón,32,2743,0.07,0.15,-0.08,1.28,0.30,5.13%,0.12,15.26,151.2,9.9,9.52,93.2,0.3,0.07,0.00,0.03,0.00,50,37,116,17,122,130,69,53.1%,169,113,66.9%,69.59,63.59,91.4%,9.94,8.10,81.5%,0.33,0.07,20.0%,0.03
Jacopo Fazzini,20,574,0.00,0.17,-0.17,1.41,0.16,0.00%,0.12,13.48,159.3,11.8,7.21,66.2,1.4,0.63,0.00,0.63,0.00,18,6,35,1,6,85,42,49.4%,21,9,42.9%,29.48,21.95,74.5%,12.07,8.15,67.5%,1.72,0.63,36.4%,0.47
Jakub Piotrowski,33,1697,0.05,0.14,-0.09,1.91,0.48,2.78%,0.07,10.29,115.1,11.2,4.83,51.5,0.6,0.42,0.00,0.16,0.00,45,17,81,8,35,158,87,55.1%,41,22,53.7%,29.33,24.08,82.1%,9.81,6.79,69.2%,0.95,0.00,0.0%,0.11
Jamie Vardy,29,2107,0.30,0.21,0.09,1.28,0.60,23.33%,0.16,3.29,35.8,10.9,2.05,21.0,0.4,0.17,0.04,0.13,0.04,12,3,40,3,25,93,39,41.9%,121,48,39.7%,12.94,8.07,62.4%,6.32,3.80,60.1%,0.51,0.09,16.7%,0.04
Jamil Siebert,21,1700,0.05,0.02,0.03,0.32,0.11,16.67%,0.07,5.45,50.6,9.3,2.44,22.3,0.5,0.05,0.00,0.05,0.00,27,16,37,20,143,72,37,51.4%,70,38,54.3%,31.82,24.56,77.2%,6.46,2.59,40.2%,0.26,0.05,20.0%,0.00
Jan Ziólkowski,18,508,0.00,0.02,-0.02,0.35,0.00,0.00%,0.06,8.15,80.0,9.8,3.01,28.5,1.7,0.00,0.00,0.00,0.00,19,8,23,5,41,43,27,62.8%,41,23,56.1%,45.00,37.74,83.9%,4.43,2.30,52.0%,0.00,0.00,0.0%,0.00
Jari Vandeputte,32,1953,0.05,0.10,-0.05,0.92,0.37,5.00%,0.11,11.89,147.6,12.4,6.31,66.0,0.5,0.23,0.05,0.46,0.09,38,18,92,2,36,155,70,45.2%,16,5,31.3%,41.98,32.49,77.4%,14.29,9.12,63.9%,2.81,0.51,18.0%,0.28
Jay Idzes,35,3063,0.00,0.01,-0.01,0.15,0.00,0.00%,0.04,7.23,70.3,9.7,3.73,33.9,0.3,0.00,0.00,0.03,0.00,28,42,98,21,191,89,47,52.8%,109,53,48.6%,41.64,37.52,90.1%,3.76,2.29,60.9%,0.03,0.00,0.0%,0.03
Jayden Addai,12,688,0.39,0.20,0.19,1.70,0.78,23.08%,0.12,12.95,159.9,12.3,8.11,93.6,1.5,0.92,0.13,0.39,0.00,6,3,24,1,4,83,34,41.0%,3,2,66.7%,21.85,16.22,74.3%,11.64,7.72,66.3%,1.31,0.13,10.0%,0.13
Jean-Daniel Akpa Akpro,22,1507,0.06,0.06,0.00,0.78,0.24,7.69%,0.08,7.41,84.0,11.3,3.88,45.0,0.7,0.00,0.00,0.06,0.00,44,23,83,6,24,160,82,51.3%,61,27,44.3%,22.99,17.20,74.8%,6.15,4.12,67.0%,1.07,0.18,16.7%,0.00
Jeff Ekhator,30,944,0.29,0.28,0.01,1.91,0.48,15.00%,0.14,6.48,72.9,11.2,3.34,40.1,1.1,0.29,0.00,0.10,0.00,12,2,32,0,5,96,43,44.8%,56,26,46.4%,17.07,10.01,58.7%,7.15,3.72,52.0%,0.86,0.00,0.0%,0.10
Jens Odgaard,26,1381,0.33,0.16,0.17,2.28,0.85,14.29%,0.07,9.78,122.3,12.5,4.43,44.3,0.7,0.59,0.07,0.20,0.00,21,4,70,0,16,140,54,38.6%,77,38,49.4%,21.25,15.51,73.0%,9.19,6.91,75.2%,0.85,0.33,38.5%,0.13
Jesper Karlström,36,3152,0.03,0.02,0.00,0.57,0.09,5.00%,0.04,8.57,90.1,10.5,4.14,36.8,0.3,0.09,0.00,0.09,0.00,54,36,144,15,76,172,91,52.9%,56,30,53.6%,38.72,31.49,81.3%,9.45,6.14,65.0%,0.43,0.06,13.3%,0.03
Jesús Rodríguez,31,1734,0.10,0.21,-0.10,2.34,0.62,4.44%,0.09,18.11,227.9,12.6,11.06,122.3,0.6,1.25,0.05,1.25,0.36,26,5,69,0,10,217,99,45.6%,26,13,50.0%,23.67,18.84,79.6%,11.94,8.62,72.2%,2.65,0.26,9.8%,0.10
