NAME,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS
Elias Saad,10,499,0.00,0.10,-0.10,1.26,0.54,0.00%,0.08,13.71,156.5,11.4,8.12,90.8,2.0,0.54,0.00,0.90,0.00,2.71,0.18,4.87,0.18,0.36,15.51,7.58,48.8%,2.34,1.08,46.2%,27.41,21.82,79.6%,13.35,10.46,78.4%,1.26,0.00,0.0%,0.00
Ellyes Skhiri,25,1442,0.00,0.04,-0.04,0.50,0.00,0.00%,0.08,11.17,101.4,9.1,4.99,42.0,0.5,0.06,0.00,0.00,0.00,1.25,1.62,4.68,0.37,2.00,4.68,2.50,53.3%,3.06,1.50,49.0%,56.80,49.99,88.0%,10.92,7.86,72.0%,0.25,0.12,50.0%,0.00
Elvis Rexhbeçaj,26,1109,0.16,0.04,0.12,0.89,0.41,18.18%,0.05,7.63,74.3,9.7,4.06,36.5,0.7,0.24,0.00,0.32,0.00,1.46,0.41,4.06,0.08,1.62,7.14,3.17,44.3%,2.03,0.97,48.0%,32.95,25.48,77.3%,11.44,7.79,68.1%,1.38,0.16,11.8%,0.00
Emre Can,9,621,0.43,0.36,0.08,0.72,0.58,60.00%,0.49,13.04,143.8,11.0,6.23,69.3,1.6,0.14,0.00,0.00,0.00,1.74,2.32,5.94,1.01,5.22,6.96,3.62,52.1%,4.78,2.61,54.5%,65.22,56.23,86.2%,12.75,8.99,70.5%,0.29,0.00,0.0%,0.00
Equi Fernández,20,987,0.00,0.06,-0.06,1.00,0.09,0.00%,0.06,15.05,136.7,9.1,5.74,39.5,0.6,0.09,0.00,0.27,0.09,2.83,1.09,6.11,0.27,1.55,10.12,5.74,56.8%,2.37,0.82,34.6%,75.32,67.39,89.5%,17.05,13.31,78.1%,0.36,0.00,0.0%,0.27
Eren Dinkçi,22,1380,0.20,0.26,-0.07,1.89,0.59,10.34%,0.14,9.85,115.5,11.7,5.48,64.5,0.8,0.52,0.13,0.26,0.00,1.63,0.65,5.28,0.07,0.98,6.72,2.67,39.8%,0.91,0.26,28.6%,26.41,18.65,70.6%,9.78,5.87,60.0%,2.02,0.52,25.8%,0.13
Eric Martel,31,2564,0.07,0.09,-0.02,0.81,0.14,8.70%,0.11,9.93,96.1,9.7,3.48,22.0,0.2,0.07,0.00,0.04,0.00,1.61,1.23,3.72,0.77,4.39,6.18,3.30,53.4%,5.93,3.23,54.4%,49.77,42.96,86.3%,8.71,6.32,72.6%,0.39,0.14,36.4%,0.07
Eric Smith,27,2314,0.08,0.02,0.06,0.47,0.19,16.67%,0.05,10.07,98.3,9.8,4.82,46.1,0.4,0.00,0.00,0.00,0.00,1.32,0.89,5.13,0.62,4.04,4.47,2.80,62.6%,2.33,1.17,50.0%,57.10,48.38,84.7%,11.78,6.88,58.4%,0.62,0.08,12.5%,0.00
Ermedin Demirovic,25,1498,0.72,0.45,0.27,2.46,1.32,29.27%,0.18,4.27,39.0,9.1,1.92,17.3,0.5,0.30,0.06,0.42,0.06,0.84,0.06,2.34,0.06,0.72,6.97,2.76,39.7%,5.29,1.86,35.2%,15.02,10.99,73.2%,7.93,5.71,72.0%,0.06,0.00,0.0%,0.24
Ernest Poku,29,1484,0.30,0.18,0.13,1.64,0.55,18.52%,0.11,15.22,193.9,12.7,10.13,124.4,0.7,0.55,0.12,1.03,0.18,0.79,0.49,2.67,0.06,0.91,8.67,3.52,40.6%,1.27,0.18,14.3%,33.84,28.14,83.2%,15.77,12.31,78.1%,0.73,0.00,0.0%,0.00
Exequiel Palacios,18,1097,0.00,0.05,-0.05,0.82,0.16,0.00%,0.06,20.26,199.8,9.9,9.52,88.5,0.8,0.00,0.00,0.33,0.00,1.72,0.66,8.04,0.25,1.64,6.32,3.53,55.8%,0.74,0.33,44.4%,96.73,87.70,90.7%,30.44,25.43,83.6%,0.16,0.00,0.0%,0.16
Ezechiel Banzuzi,24,578,0.00,0.22,-0.22,2.34,0.62,0.00%,0.09,9.19,87.7,9.5,3.58,39.0,1.7,0.16,0.00,0.00,0.00,2.34,1.25,5.61,0.47,5.14,7.32,3.74,51.1%,7.16,3.89,54.3%,44.38,37.68,84.9%,14.48,11.99,82.8%,0.78,0.00,0.0%,0.00
Fabian Rieder,32,2352,0.23,0.16,0.07,1.45,0.50,15.79%,0.11,9.60,101.1,10.5,4.82,46.5,0.4,0.23,0.00,0.31,0.08,1.42,0.61,4.17,0.11,0.61,8.15,3.56,43.7%,2.07,0.54,25.9%,31.45,23.84,75.8%,15.08,10.56,70.0%,1.91,0.46,24.0%,0.27
Fabio Chiarodia,15,673,0.00,0.08,-0.08,0.53,0.13,0.00%,0.15,12.57,129.9,10.3,5.62,53.6,1.3,0.13,0.00,0.00,0.00,2.01,1.60,4.41,0.80,5.75,4.15,2.27,54.8%,1.74,0.80,46.2%,58.97,50.68,85.9%,6.29,3.61,57.5%,0.00,0.00,0.0%,0.00
Farès Chaïbi,28,1797,0.10,0.14,-0.04,1.75,0.45,5.71%,0.08,8.86,95.7,10.8,4.91,44.0,0.4,0.30,0.00,0.25,0.15,1.55,0.70,4.11,0.10,1.45,6.01,3.16,52.5%,2.50,1.15,46.0%,40.07,31.60,78.9%,15.88,11.17,70.3%,1.85,0.30,16.2%,0.15
Felix Agu,11,746,0.00,0.01,-0.01,0.24,0.12,0.00%,0.03,10.13,105.2,10.4,5.07,39.2,0.9,0.12,0.00,0.24,0.00,2.41,1.33,4.95,0.72,2.65,7.12,4.71,66.1%,2.17,1.69,77.8%,34.99,27.75,79.3%,10.50,7.12,67.8%,1.57,0.60,38.5%,0.12
Felix Nmecha,29,2184,0.08,0.15,-0.07,1.36,0.29,6.06%,0.11,11.29,136.0,12.0,6.06,72.7,0.5,0.21,0.00,0.08,0.00,1.52,1.11,4.49,0.16,1.20,6.96,3.71,53.3%,1.77,1.11,62.8%,44.30,38.61,87.2%,15.37,11.79,76.7%,0.29,0.08,28.6%,0.12
Finn Jeltsch,23,1506,0.00,0.01,-0.01,0.18,0.00,0.00%,0.05,18.71,209.2,11.2,7.95,90.8,0.7,0.00,0.00,0.30,0.06,1.43,1.14,4.78,0.84,4.12,4.54,2.69,59.2%,3.47,1.73,50.0%,62.39,56.65,90.8%,9.74,7.53,77.3%,0.18,0.00,0.0%,0.06
Fisnik Asllani,33,2354,0.38,0.32,0.06,2.79,1.07,13.70%,0.11,5.73,54.6,9.5,2.41,20.8,0.3,0.50,0.04,0.27,0.08,0.65,0.27,2.91,0.00,0.80,6.23,2.68,42.9%,3.48,0.92,26.4%,24.93,17.09,68.6%,11.36,6.58,57.9%,0.34,0.11,33.3%,0.42
Florian Neuhaus,17,934,0.00,0.10,-0.10,2.12,0.58,0.00%,0.05,11.85,133.8,11.3,6.17,74.5,1.2,0.58,0.00,0.39,0.00,1.16,0.87,4.34,0.39,1.16,6.26,2.60,41.5%,0.87,0.19,22.2%,47.41,37.87,79.9%,14.16,9.25,65.3%,0.67,0.10,14.3%,0.39
Franck Honorat,28,1987,0.09,0.04,0.05,0.77,0.23,11.76%,0.05,7.52,97.3,12.9,4.89,66.1,0.6,0.14,0.00,0.59,0.14,1.00,0.27,3.13,0.18,1.13,5.44,2.04,37.5%,1.27,0.54,42.9%,26.18,19.48,74.4%,11.82,7.97,67.4%,4.03,1.04,25.8%,0.18
Fábio Silva,28,805,0.22,0.30,-0.07,2.57,0.89,8.70%,0.11,8.94,107.3,12.0,5.37,61.0,1.3,0.22,0.00,0.78,0.22,0.78,0.22,2.91,0.11,0.11,9.17,3.24,35.4%,5.37,1.57,29.2%,29.96,21.69,72.4%,16.55,11.40,68.9%,1.45,0.34,23.1%,0.11
Fábio Vieira,29,2215,0.28,0.19,0.10,2.40,0.77,11.86%,0.08,9.79,113.1,11.6,4.39,47.3,0.4,0.49,0.04,0.33,0.04,0.81,0.53,5.12,0.08,0.85,6.91,3.90,56.5%,1.30,0.41,31.3%,34.46,28.60,83.0%,12.07,8.98,74.4%,0.77,0.24,31.6%,0.33
Giorgi Gocholeishvili,24,931,0.00,0.07,-0.07,1.35,0.19,0.00%,0.05,9.28,106.7,11.5,5.99,66.4,1.1,0.39,0.00,0.19,0.00,2.42,0.77,5.03,0.10,2.51,11.41,5.90,51.7%,2.42,1.06,44.0%,23.68,17.69,74.7%,7.06,3.87,54.8%,2.03,0.58,28.6%,0.00
Giovanni Reyna,19,510,0.18,0.12,0.06,1.24,0.35,14.29%,0.10,16.06,175.1,10.9,6.53,60.3,1.6,0.35,0.00,1.06,0.00,1.59,0.88,4.59,0.18,1.94,9.53,5.12,53.7%,3.53,0.71,20.0%,52.06,43.94,84.4%,17.65,13.59,77.0%,1.24,0.18,14.3%,0.00
Grischa Prömel,33,1746,0.36,0.26,0.10,2.22,0.72,16.28%,0.12,9.90,105.9,10.7,5.05,43.1,0.4,0.41,0.05,0.26,0.00,1.86,0.82,5.26,0.26,2.37,6.39,3.61,56.5%,3.40,1.39,40.9%,47.84,39.23,82.0%,14.90,10.98,73.7%,0.57,0.10,18.2%,0.26
Han-Noah Massengo,33,2435,0.07,0.05,0.03,0.74,0.22,10.00%,0.06,10.83,114.8,10.6,4.99,44.8,0.3,0.15,0.00,0.18,0.00,1.52,1.40,5.10,0.33,1.59,5.95,3.33,55.9%,1.52,0.63,41.5%,41.25,35.41,85.8%,10.42,7.54,72.3%,0.59,0.04,6.3%,0.00
Haris Tabakovic,32,2394,0.49,0.49,0.00,2.52,1.02,19.40%,0.19,2.82,24.5,8.7,0.94,5.7,0.2,0.23,0.00,0.15,0.04,0.38,0.00,1.62,0.19,2.26,4.62,1.24,26.8%,7.89,3.95,50.0%,18.23,12.33,67.6%,6.20,3.42,55.1%,0.08,0.00,0.0%,0.15
Harry Kane,31,2382,1.36,1.01,0.35,4.50,2.53,30.25%,0.23,8.31,84.1,10.1,3.51,27.3,0.3,0.68,0.23,0.30,0.08,0.72,0.30,2.91,0.23,1.25,6.39,3.14,49.1%,2.64,1.62,61.4%,27.47,22.25,81.0%,13.72,10.16,74.1%,0.45,0.04,8.3%,0.64
Hauke Wahl,30,2591,0.07,0.02,0.05,0.35,0.14,20.00%,0.06,10.52,117.8,11.2,6.70,75.7,0.4,0.00,0.00,0.00,0.00,1.49,1.04,3.99,0.63,5.63,2.95,1.98,67.1%,4.20,1.91,45.5%,55.16,47.62,86.3%,10.21,6.39,62.6%,0.42,0.03,8.3%,0.03
Hennes Behrens,16,1319,0.07,0.02,0.05,0.61,0.27,11.11%,0.04,9.76,103.4,10.6,5.25,49.8,0.6,0.20,0.07,0.34,0.00,1.91,1.09,5.39,0.41,3.14,7.44,4.78,64.2%,1.91,0.96,50.0%,32.07,23.27,72.5%,9.76,5.66,58.0%,2.66,0.61,23.1%,0.07
Hiroki Ito,16,921,0.10,0.08,0.01,0.98,0.29,10.00%,0.09,13.78,131.8,9.6,7.04,61.9,0.9,0.00,0.00,0.10,0.10,0.39,1.37,3.62,0.29,3.62,2.15,1.07,50.0%,3.13,2.05,65.6%,78.96,71.92,91.1%,18.18,15.05,82.8%,0.68,0.00,0.0%,0.00
Hugo Bolin,13,547,0.16,0.13,0.03,2.47,0.66,6.67%,0.05,8.88,101.5,11.4,4.94,59.1,2.0,0.33,0.00,0.49,0.16,0.66,0.16,4.77,0.00,0.66,7.07,3.13,44.2%,0.99,0.49,50.0%,22.54,18.43,81.8%,8.72,6.58,75.5%,2.47,0.16,6.7%,0.16
Hugo Larsson,25,1820,0.10,0.07,0.03,0.64,0.30,15.38%,0.11,8.11,85.9,10.6,3.66,30.9,0.4,0.20,0.00,0.15,0.00,0.94,1.53,3.76,0.25,1.93,2.62,1.24,47.2%,1.04,0.45,42.9%,50.88,44.16,86.8%,12.31,9.35,75.9%,0.45,0.20,44.4%,0.10
Ibrahim Maza,28,1852,0.15,0.26,-0.11,2.62,0.83,5.56%,0.10,16.57,183.3,11.1,9.33,102.9,0.5,0.63,0.05,0.63,0.05,1.99,0.78,4.23,0.05,0.63,10.74,6.07,56.6%,1.26,0.39,30.8%,43.30,35.96,83.0%,20.41,14.72,72.1%,2.92,0.63,21.7%,0.39
Igor Matanovic,31,1561,0.63,0.53,0.10,3.00,1.15,21.15%,0.18,3.75,36.4,9.7,1.90,17.4,0.5,0.23,0.00,0.00,0.00,1.33,0.52,2.94,0.12,2.02,8.88,3.29,37.0%,9.22,4.79,51.9%,18.33,11.47,62.6%,8.01,4.15,51.8%,0.00,0.00,0.0%,0.12
Ilyas Ansah,33,1902,0.24,0.15,0.08,1.56,0.57,15.15%,0.10,9.79,117.3,12.0,5.63,60.7,0.5,0.43,0.00,0.24,0.00,0.80,0.24,3.69,0.14,0.80,10.84,3.97,36.7%,3.31,0.80,24.3%,14.15,10.60,74.9%,6.91,4.83,69.9%,0.90,0.19,21.1%,0.28
Isaac Schmidt,19,677,0.13,0.14,-0.00,0.80,0.27,16.67%,0.17,13.83,147.9,10.7,6.38,58.5,1.2,0.13,0.13,0.40,0.00,2.13,1.46,5.05,0.00,2.66,7.31,3.86,52.7%,3.06,2.13,69.6%,46.26,35.76,77.3%,15.16,11.57,76.3%,0.93,0.13,14.3%,0.27
Jackson Irvine,24,1624,0.00,0.08,-0.08,1.05,0.22,0.00%,0.08,5.15,56.4,10.9,2.88,34.4,0.7,0.00,0.00,0.00,0.00,1.88,1.50,4.05,0.44,2.83,5.76,3.10,53.8%,5.21,2.60,50.0%,38.07,27.38,71.9%,15.63,9.53,61.0%,0.67,0.11,16.7%,0.22
Jahmai Simpson-Pusey,11,864,0.00,0.04,-0.04,0.63,0.31,0.00%,0.07,13.44,123.6,9.2,6.88,63.5,1.0,0.00,0.00,0.00,0.00,0.94,1.35,3.23,0.73,6.46,2.19,1.67,76.2%,3.85,2.50,64.9%,56.04,48.54,86.6%,6.98,3.75,53.7%,0.10,0.00,0.0%,0.10
Jakub Kaminski,34,3019,0.21,0.21,-0.00,1.88,0.78,11.11%,0.11,10.20,123.7,12.1,5.69,65.0,0.3,0.63,0.00,0.45,0.03,1.34,0.69,3.58,0.24,1.10,5.90,2.89,49.0%,1.46,0.42,28.6%,30.20,24.18,80.1%,14.19,10.55,74.4%,1.55,0.36,23.1%,0.27
Jamal Musiala,15,679,0.40,0.64,-0.24,3.98,1.19,10.00%,0.16,15.64,159.7,10.2,7.69,72.9,1.3,1.19,0.00,0.27,0.27,1.46,0.27,3.71,0.00,0.13,13.92,6.63,47.6%,0.27,0.27,100.0%,38.70,32.87,84.9%,20.41,15.91,77.9%,0.53,0.00,0.0%,0.27
James Sands,24,1941,0.05,0.05,-0.00,0.74,0.19,6.25%,0.06,4.87,49.0,10.1,2.27,17.1,0.3,0.05,0.00,0.05,0.00,1.95,1.95,3.89,0.32,1.85,6.26,3.62,57.8%,5.05,2.83,56.0%,40.85,30.83,75.5%,11.92,7.70,64.6%,0.42,0.14,33.3%,0.00
Jamie Leweling,32,2375,0.27,0.16,0.10,1.86,0.68,14.29%,0.09,13.95,179.9,12.9,7.20,88.0,0.5,1.10,0.08,0.91,0.23,0.83,0.53,3.68,0.08,1.14,7.47,3.68,49.2%,1.10,0.45,41.4%,28.65,22.17,77.4%,12.77,8.83,69.1%,4.62,1.17,25.4%,0.30
Jan Schöppner,31,2260,0.12,0.09,0.03,1.00,0.28,12.00%,0.09,7.09,72.6,10.2,3.42,27.1,0.3,0.04,0.00,0.16,0.04,1.27,1.35,3.86,0.44,3.90,5.93,2.35,39.6%,3.90,1.91,49.0%,27.76,18.88,68.0%,8.96,5.22,58.2%,0.56,0.12,21.4%,0.16
Jan Thielmann,26,1547,0.17,0.13,0.04,1.63,0.64,10.71%,0.08,7.33,83.6,11.4,4.42,43.0,0.6,0.17,0.00,0.17,0.06,1.05,0.87,3.55,0.17,2.56,5.99,2.79,46.6%,1.98,1.11,55.9%,23.62,17.74,75.1%,9.02,6.40,71.0%,2.09,0.70,33.3%,0.17
Janik Haberer,28,1652,0.00,0.03,-0.03,0.60,0.05,0.00%,0.05,4.96,45.0,9.1,1.74,7.2,0.2,0.05,0.00,0.16,0.00,1.91,0.44,3.92,0.16,2.34,6.76,3.27,48.4%,3.00,1.14,38.2%,31.92,24.35,76.3%,9.75,5.88,60.3%,1.53,0.65,42.9%,0.11
Jarell Quansah,28,2302,0.16,0.11,0.05,0.70,0.31,22.22%,0.16,15.09,168.6,11.2,7.70,86.5,0.4,0.12,0.00,0.12,0.00,1.09,1.06,3.83,0.55,3.48,4.07,2.42,59.6%,2.66,1.60,60.3%,64.04,57.82,90.3%,14.35,11.85,82.6%,0.78,0.16,20.0%,0.12
Jean-Luc Dompé,20,1136,0.24,0.16,0.07,1.98,0.95,12.00%,0.08,12.20,139.1,11.4,7.05,78.7,0.9,0.79,0.08,1.19,0.00,0.40,0.00,1.82,0.00,0.08,5.15,2.77,53.8%,0.24,0.00,0.0%,22.74,18.38,80.8%,11.65,8.87,76.2%,4.83,1.19,24.6%,0.40
Jean-Mattéo Bahoya,27,1329,0.20,0.14,0.07,1.96,0.61,10.34%,0.07,14.70,192.5,13.1,8.60,108.4,0.9,0.95,0.00,1.15,0.20,2.10,0.88,4.06,0.14,0.88,10.90,6.37,58.4%,1.76,0.47,26.9%,30.14,24.24,80.5%,11.04,8.13,73.6%,2.23,0.47,21.2%,0.07
Jeanuël Belocian,22,1543,0.00,0.03,-0.03,0.23,0.00,0.00%,0.12,10.32,102.0,9.9,5.07,50.7,0.6,0.06,0.00,0.06,0.00,2.04,0.93,3.44,0.82,4.08,5.42,3.21,59.1%,2.45,0.93,38.1%,42.05,37.62,89.5%,7.76,6.94,89.5%,0.47,0.06,12.5%,0.00
Jeff Chabot,27,2296,0.00,0.04,-0.04,0.71,0.27,0.00%,0.06,16.19,152.2,9.4,8.27,82.1,0.4,0.16,0.00,0.04,0.00,1.33,1.41,4.12,0.59,7.84,4.78,2.98,62.3%,7.17,5.02,69.9%,67.70,60.13,88.8%,9.68,6.94,71.7%,0.04,0.00,0.0%,0.00
Jeffrey Gouweleeuw,11,851,0.00,0.03,-0.03,0.53,0.32,0.00%,0.07,8.99,82.5,9.2,4.76,41.2,0.9,0.00,0.00,0.11,0.00,2.01,1.48,3.49,0.32,6.45,4.02,2.54,63.2%,3.49,1.48,42.4%,39.24,31.09,79.3%,8.78,3.81,43.4%,0.53,0.32,60.0%,0.11
Jens Castrop,26,1592,0.17,0.21,-0.04,1.70,0.68,10.00%,0.12,12.10,140.0,11.6,7.63,80.2,0.6,0.51,0.11,0.34,0.00,3.28,1.02,4.75,0.06,1.70,12.04,6.16,51.2%,1.36,0.73,54.2%,28.15,21.20,75.3%,10.35,7.35,71.0%,1.19,0.23,19.1%,0.06
Jens Stage,29,2468,0.36,0.22,0.14,2.04,0.77,17.86%,0.11,7.95,77.2,9.7,3.25,20.3,0.2,0.15,0.04,0.26,0.00,1.50,0.66,4.23,0.33,1.46,6.20,3.06,49.4%,3.46,2.22,64.2%,40.37,30.41,75.3%,13.64,8.21,60.2%,0.47,0.18,38.5%,0.36
Jenson Seelt,9,680,0.00,0.03,-0.03,0.26,0.00,0.00%,0.10,11.38,97.2,8.5,3.57,19.3,0.7,0.00,0.00,0.00,0.00,1.72,0.66,3.71,0.66,9.53,3.84,2.78,72.4%,5.43,3.04,56.1%,50.16,43.15,86.0%,3.71,1.72,46.4%,0.00,0.00,0.0%,0.00
Joakim Mæhle,16,1224,0.07,0.06,0.01,1.03,0.22,7.14%,0.06,9.49,110.5,11.6,4.78,52.8,0.8,0.37,0.00,0.37,0.00,2.57,1.47,5.22,0.00,2.79,7.79,3.60,46.2%,1.47,0.74,50.0%,36.69,30.22,82.4%,11.03,8.53,77.3%,1.54,0.29,19.1%,0.22
Jobe Bellingham,32,1784,0.00,0.05,-0.05,0.96,0.30,0.00%,0.06,12.21,125.9,10.3,5.50,46.3,0.4,0.15,0.00,0.05,0.00,2.22,1.92,5.70,0.40,1.26,7.26,3.99,54.9%,2.12,1.21,57.1%,52.87,46.21,87.4%,15.89,12.71,80.0%,0.20,0.00,0.0%,0.15
Joe Scally,32,2611,0.07,0.04,0.03,0.55,0.34,12.50%,0.08,7.86,80.6,10.3,3.52,25.2,0.2,0.14,0.00,0.21,0.00,1.65,0.59,3.90,0.14,2.69,7.93,4.24,53.5%,2.31,1.03,44.8%,31.44,25.23,80.3%,7.48,5.38,71.9%,1.65,0.28,16.7%,0.00
Joel Chima Fujita,32,2671,0.03,0.04,-0.01,1.04,0.24,3.23%,0.04,8.90,98.0,11.0,5.05,53.7,0.4,0.27,0.00,0.27,0.03,2.29,1.11,5.66,0.13,0.61,9.33,4.52,48.4%,1.18,0.47,40.0%,39.63,30.39,76.7%,15.30,9.70,63.4%,0.91,0.13,14.8%,0.51
Johan Bakayoko,20,773,0.23,0.24,-0.01,2.79,1.05,8.33%,0.09,14.20,163.8,11.5,6.64,72.6,1.3,1.28,0.23,0.47,0.00,0.58,0.23,3.61,0.00,0.35,8.38,3.61,43.1%,1.28,0.23,18.2%,33.42,27.59,82.6%,12.23,9.20,75.2%,1.75,0.35,20.0%,0.23
Johan Manzambi,27,2094,0.21,0.17,0.05,2.19,0.52,9.80%,0.08,18.14,223.0,12.3,9.76,106.4,0.5,0.56,0.09,0.39,0.09,1.50,1.16,4.73,0.09,1.63,10.49,6.28,59.8%,2.58,1.42,55.0%,40.36,34.08,84.5%,12.94,9.24,71.4%,1.50,0.47,31.4%,0.26
Jonas Föhrenbach,27,2327,0.04,0.02,0.02,0.19,0.04,20.00%,0.11,6.30,63.9,10.1,3.75,34.7,0.4,0.00,0.00,0.04,0.00,1.78,1.16,2.59,0.35,3.79,4.14,2.51,60.7%,2.01,1.01,50.0%,31.79,25.37,79.8%,7.62,4.91,64.5%,2.13,0.46,21.8%,0.00
Jonas Hofmann,23,1009,0.18,0.15,0.03,2.05,0.62,8.70%,0.07,9.99,96.6,9.7,3.75,23.1,0.5,0.27,0.00,0.45,0.18,1.16,0.18,3.39,0.00,1.16,4.55,2.59,56.9%,0.80,0.36,44.4%,48.79,40.76,83.5%,17.04,12.84,75.4%,2.50,0.09,3.6%,0.45
Jonas Wind,11,480,0.19,0.22,-0.03,1.69,1.13,11.11%,0.13,4.31,33.0,7.6,1.31,10.8,1.5,0.19,0.00,0.19,0.00,0.00,0.00,2.44,0.19,0.94,4.50,3.00,66.7%,9.00,3.75,41.7%,27.19,17.25,63.5%,14.44,8.25,57.1%,0.00,0.00,0.0%,0.19
Jonathan Burkardt,22,1340,0.87,0.83,0.04,2.75,1.41,31.71%,0.30,3.69,38.7,10.5,1.88,18.3,0.7,0.27,0.20,0.00,0.00,0.54,0.07,1.48,0.00,0.74,4.50,1.95,43.3%,3.69,0.74,20.0%,13.84,10.14,73.3%,5.98,4.10,68.5%,0.34,0.07,20.0%,0.00
Jonathan Tah,28,2019,0.09,0.03,0.06,0.36,0.22,25.00%,0.07,16.94,166.8,9.8,8.69,86.4,0.4,0.00,0.00,0.09,0.00,1.07,1.16,4.01,0.94,5.53,3.03,1.47,48.5%,2.72,1.92,70.5%,84.56,81.44,96.3%,11.32,10.07,89.0%,0.04,0.00,0.0%,0.04
Jordan Torunarigha,24,1965,0.00,0.02,-0.02,0.23,0.05,0.00%,0.07,10.12,105.7,10.4,5.59,59.8,0.5,0.05,0.00,0.05,0.00,1.69,1.37,2.79,0.82,8.29,4.40,2.56,58.3%,4.08,2.43,59.6%,48.00,40.99,85.4%,6.32,3.44,54.4%,0.14,0.00,0.0%,0.00
Jordy Makengo,20,1173,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,8.06,91.3,11.3,3.38,31.8,0.7,0.00,0.00,0.08,0.00,1.69,1.15,3.68,0.77,3.99,4.60,2.92,63.3%,1.84,1.07,58.3%,34.14,28.70,84.0%,7.90,5.75,72.8%,2.53,0.77,30.3%,0.00
Josha Vagnoman,27,1586,0.06,0.16,-0.11,1.08,0.62,5.26%,0.15,8.51,90.1,10.6,4.03,39.4,0.6,0.06,0.00,0.23,0.00,1.70,0.17,3.12,0.23,2.78,5.73,2.95,51.5%,2.33,0.96,41.5%,34.62,28.32,81.8%,10.38,8.23,79.2%,1.82,0.34,18.8%,0.11
Joshua Kimmich,29,2280,0.08,0.10,-0.02,1.11,0.39,7.14%,0.09,26.88,266.2,9.9,11.17,101.5,0.4,0.20,0.00,0.20,0.00,1.26,0.99,4.62,0.24,0.71,4.54,2.53,55.7%,0.75,0.28,36.8%,104.61,96.63,92.4%,34.38,28.70,83.5%,1.54,0.51,33.3%,1.30
Josip Stanisic,26,1855,0.10,0.07,0.03,0.34,0.19,28.57%,0.19,13.92,152.1,10.9,8.30,90.3,0.5,0.05,0.00,0.39,0.05,1.36,0.87,4.08,0.39,2.96,4.22,2.33,55.2%,2.04,1.21,59.5%,61.04,54.78,89.8%,22.95,19.94,86.9%,1.60,0.29,18.2%,0.19
Jovan Milosevic,13,483,0.56,0.37,0.18,2.24,0.75,25.00%,0.17,4.66,49.1,10.5,2.24,14.4,1.2,0.37,0.00,0.19,0.00,0.75,0.19,2.42,0.19,0.56,5.96,2.24,37.5%,7.83,3.17,40.5%,19.75,14.72,74.5%,4.84,3.17,65.4%,0.56,0.00,0.0%,0.00
Joël Schmied,16,1080,0.00,0.02,-0.02,0.42,0.00,0.00%,0.05,8.50,91.1,10.7,2.75,13.5,0.4,0.00,0.00,0.08,0.00,0.92,0.92,2.25,0.83,4.08,3.50,1.67,47.6%,3.25,1.50,46.2%,36.58,32.08,87.7%,7.50,5.25,70.0%,0.42,0.08,20.0%,0.00
Julian Brandt,29,1607,0.39,0.32,0.07,2.07,1.01,18.92%,0.15,10.14,101.3,10.0,4.59,30.2,0.4,0.34,0.00,0.50,0.06,0.78,0.28,3.58,0.00,0.56,4.87,2.07,42.5%,2.41,1.29,53.5%,42.51,34.39,80.9%,19.38,14.95,77.2%,1.29,0.28,21.7%,0.62
Julian Niehues,24,1389,0.19,0.08,0.11,1.23,0.32,15.79%,0.07,8.16,82.9,10.2,3.17,27.6,0.6,0.06,0.00,0.19,0.00,1.10,1.36,4.60,0.45,2.59,4.15,2.01,48.4%,2.85,1.62,56.8%,39.59,32.46,82.0%,8.16,4.92,60.3%,0.19,0.06,33.3%,0.26
Julian Ryerson,31,2272,0.00,0.04,-0.04,0.48,0.04,0.00%,0.08,11.37,122.6,10.8,6.97,64.1,0.4,0.08,0.00,0.44,0.12,1.35,0.55,4.79,0.16,1.62,8.12,3.09,38.0%,1.03,0.44,42.3%,35.93,29.67,82.6%,15.77,12.08,76.6%,6.18,1.35,21.8%,0.08
